id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Sidney;Hintz;Wilhelm74@hotmail.com;internationalize;2025-02-13T14:07:05;30474;17265
2;Emma;Schneider;Lisandro.Schulist@hotmail.com;trek joint boom;2025-02-13T00:05:41;3263;6944
3;Eleazar;Ratke;Mateo46@gmail.com;vice;2025-02-13T09:01:43;18840;31534
4;Beverly;Keeling;Eladio.Hessel42@hotmail.com;cross weakly;2025-02-12T22:24:35;19946;23983
5;Buddy;Flatley;Yessenia32@yahoo.com;although um retrospectivity;2025-02-12T19:15:35;14955;32146
6;Lavern;Hettinger-Feil;Shayna.Ratke@yahoo.com;ew dreary;2025-02-12T21:47:58;16620;20063
7;Deven;O'Reilly;Burnice0@yahoo.com;understated;2025-02-13T07:25:20;6939;12315
8;Melvin;Rau;Lexi.Kuhn95@gmail.com;adventurously;2025-02-13T09:46:57;16995;18882
9;Marilou;Waters;Vito.Medhurst@hotmail.com;dearly decode;2025-02-13T02:31:14;12259;9700
10;Alfonso;Rau;Savion_Stokes84@hotmail.com;overheard;2025-02-13T03:34:57;21262;365
